seller_id,week,total_orders,on_time_rate,avg_review_score,freight_pct_of_price
fa40cc5b934574b62717c68f3d678b6d,2017-01-16,4,100.0,4.5,27.46
ffff564a4f9085cd26170f4732393726,2017-01-16,5,100.0,3.0,58.94
004c9cd9d87a3c30c522c48c4fc07416,2017-01-23,2,50.0,3.5,15.64
014c0679dd340a0e338872e7ec85666a,2017-01-23,1,100.0,5.0,16.55
01cf7e3d21494c41fb86034f2e714fa1,2017-01-23,1,100.0,5.0,8.58
054694fa03fe82cec4b7551487331d74,2017-01-23,3,100.0,4.67,10.39
05ff92fedb5be47920fea08e501238b9,2017-01-23,1,100.0,3.0,6.09
062ce95fa2ad4dfaedfc79260130565f,2017-01-23,1,100.0,5.0,49.64
066a6914e1ebf3ea95a216c73a986b91,2017-01-23,2,33.33,4.0,44.88
0b09101900100c0e9d312861fad5a1b9,2017-01-23,1,100.0,4.0,9.5
0c8380b62e38e8a1e6adbeba7eb9688c,2017-01-23,2,100.0,3.33,34.71
0db783cfcd3b73998abc6e10e59a102f,2017-01-23,1,100.0,5.0,22.37
0ea22c1cfbdc755f86b9b54b39c16043,2017-01-23,8,100.0,4.4,46.45
0f519b0d2e5eb2227c93dd25038bfc01,2017-01-23,1,100.0,5.0,28.79
1336efc61c316ddf92c899eb817f7cae,2017-01-23,1,100.0,5.0,38.21
1554a68530182680ad5c8b042c3ab563,2017-01-23,4,100.0,5.0,29.15
1771297ac436903d1dd6b0e9279aa505,2017-01-23,1,100.0,5.0,40.13
198c7ea11960a9844b544d9bcdca860c,2017-01-23,1,100.0,5.0,11.49
1b8b75e227c9a9c100d0c210fb6176ce,2017-01-23,1,100.0,1.0,7.14
1d0997ff06b524ce9289ffd75114ecd3,2017-01-23,1,100.0,5.0,1.2
1f9ab4708f3056ede07124aad39a2554,2017-01-23,1,100.0,3.0,8.18
2138ccb85b11a4ec1e37afbd1c8eda1f,2017-01-23,3,100.0,3.33,64.29
218d46b86c1881d022bce9c68a7d4b15,2017-01-23,2,50.0,3.5,8.98
2199e7fe213c16213bf5d6a7eadc9a5d,2017-01-23,1,100.0,3.0,9.52
2493dc3f20131696a0ecdb9948051a8d,2017-01-23,3,100.0,5.0,14.01
25e6ffe976bd75618accfe16cefcbd0d,2017-01-23,2,100.0,4.8,31.61
